"REGIÓN","gastos","ingresos","PorcentajeGasto","PorcentajeIngreso"
"Región Cibao Nordeste",2439435570.53,2590897091.08,7,7.04
"Región Cibao Noroeste",1508028203.17,1521200911.83,4.33,4.13
"Región Cibao Norte",5474590487.51,5492995991.45,15.7,14.92
"Región Cibao Sur",3274584280.55,3573651932.72,9.39,9.71
"Región El Valle",1207197767.96,1260239720.71,3.46,3.42
"Región Enriquillo",1644151492.12,1723458313.46,4.72,4.68
"Región Higuamo",1877077426.21,1924684385.34,5.38,5.23
"Región Ozama o Metropolitana",11766503278.49,12769198821.16,33.75,34.69
"Región Valdesia",3307513871.46,3522657035.93,9.49,9.57
"Región Yuma",2364155146.5,2425420228.51,6.78,6.59
